clip_path,label,source_group,source_files,start_second,duration_seconds
/home/amani/phd/rain_detection/processed_binary_4s/no_rain/no_rain_00162.wav,no_rain,calm,/home/amani/phd/calm/training/Street Sounds 2 _Road Nosie__chunk_364.wav | /home/amani/phd/calm/training/Street Sounds 2 _Road Nosie__chunk_105.wav,0.0,4
/home/amani/phd/rain_detection/processed_binary_4s/no_rain/no_rain_00376.wav,no_rain,people,/home/amani/phd/people/4s/training/crowded-avenue-people-talking-vendors-shouting-musicians-playing-part-1-7099_chunk_0.wav,0.0,4
/home/amani/phd/rain_detection/processed_binary_4s/rain/rain_00414.wav,rain,heavy_rain,/home/amani/phd/rain/heavy/donrain-rain-inside-a-car-113602.mp3,640.0,4
/home/amani/phd/rain_detection/processed_binary_4s/rain/rain_00523.wav,rain,light_rain,/home/amani/phd/rain/light/donrain-rain-inside-a-car-2-145404.mp3,524.0,4
/home/amani/phd/rain_detection/processed_binary_4s/no_rain/no_rain_00306.wav,no_rain,calm,/home/amani/phd/calm/training/Street Sounds 2 _Road Nosie__chunk_106.wav | /home/amani/phd/calm/training/Street Sounds 2 _Road Nosie__chunk_337.wav,0.0,4
/home/amani/phd/rain_detection/processed_binary_4s/rain/rain_00615.wav,rain,heavy_rain,/home/amani/phd/rain/heavy/dbsound-rain-falls-at-night-cars-hum-and-people-talk-softly-248228.mp3,116.0,4
/home/amani/phd/rain_detection/processed_binary_4s/rain/rain_00219.wav,rain,heavy_rain,/home/amani/phd/rain/heavy/freesound_community-raining-on-car-window-16913.mp3,48.0,4
/home/amani/phd/rain_detection/processed_binary_4s/no_rain/no_rain_00431.wav,no_rain,calm,/home/amani/phd/calm/training/Street Sounds 2 _Road Nosie__chunk_393.wav | /home/amani/phd/calm/training/busy-street-ambience-195884_chunk_381.wav,0.0,4
/home/amani/phd/rain_detection/processed_binary_4s/rain/rain_00650.wav,rain,heavy_rain,/home/amani/phd/rain/heavy/freesound_community-driving-in-rainstorm-interior-17186.mp3,68.0,4
/home/amani/phd/rain_detection/processed_binary_4s/no_rain/no_rain_00157.wav,no_rain,busy,/home/amani/phd/busy/North Ave Corner Mindanao Ave QC.wav,152.0,4
/home/amani/phd/rain_detection/processed_binary_4s/rain/rain_00577.wav,rain,heavy_rain,/home/amani/phd/rain/heavy/freesound_community-driving-in-rainstorm-interior-17186.mp3,40.0,4
/home/amani/phd/rain_detection/processed_binary_4s/no_rain/no_rain_00523.wav,no_rain,calm,/home/amani/phd/calm/training/Street Sounds 2 _Road Nosie__chunk_161.wav | /home/amani/phd/calm/training/Street Sounds 2 _Road Nosie__chunk_454.wav,0.0,4
/home/amani/phd/rain_detection/processed_binary_4s/no_rain/no_rain_00331.wav,no_rain,calm,/home/amani/phd/calm/training/busy-street-ambience-195884_chunk_256.wav | /home/amani/phd/calm/training/busy-street-ambience-195884_chunk_337.wav,0.0,4
/home/amani/phd/rain_detection/processed_binary_4s/rain/rain_00568.wav,rain,heavy_rain,/home/amani/phd/rain/heavy/donrain-rain-inside-a-car-113602.mp3,156.0,4
/home/amani/phd/rain_detection/processed_binary_4s/no_rain/no_rain_00577.wav,no_rain,busy,/home/amani/phd/busy/busy-street-ambience-195884.wav,980.0,4
/home/amani/phd/rain_detection/processed_binary_4s/no_rain/no_rain_00384.wav,no_rain,people,/home/amani/phd/people/4s/training/20688-2-0-2.wav,0.0,4
/home/amani/phd/rain_detection/processed_binary_4s/rain/rain_00169.wav,rain,heavy_rain,/home/amani/phd/rain/heavy/freesound_community-rain-inside-car_summer_johannesburg_14h00-23945.mp3,20.0,4
/home/amani/phd/rain_detection/processed_binary_4s/no_rain/no_rain_00373.wav,no_rain,calm,/home/amani/phd/calm/training/Street Sounds 2 _Road Nosie__chunk_145.wav | /home/amani/phd/calm/training/busy-street-ambience-195884_chunk_394.wav,0.0,4
/home/amani/phd/rain_detection/processed_binary_4s/no_rain/no_rain_00391.wav,no_rain,people,/home/amani/phd/people/4s/training/children-playing-30728_chunk_1222.wav,0.0,4
/home/amani/phd/rain_detection/processed_binary_4s/rain/rain_00068.wav,rain,heavy_rain,/home/amani/phd/rain/heavy/freesound_community-rain-inside-car_summer_johannesburg_14h00-23945.mp3,8.0,4
/home/amani/phd/rain_detection/processed_binary_4s/no_rain/no_rain_00310.wav,no_rain,people,/home/amani/phd/people/4s/training/busy-street-ambience-195884_chunk_335.wav,0.0,4
/home/amani/phd/rain_detection/processed_binary_4s/rain/rain_00454.wav,rain,heavy_rain,/home/amani/phd/rain/heavy/freesound_community-driving-in-rainstorm-interior-17186.mp3,88.0,4
/home/amani/phd/rain_detection/processed_binary_4s/rain/rain_00671.wav,rain,light_rain,/home/amani/phd/rain/light/freesound_community-raindrops-on-car-roof-18235.mp3,4.0,4
/home/amani/phd/rain_detection/processed_binary_4s/no_rain/no_rain_00726.wav,no_rain,calm,/home/amani/phd/calm/training/busy-street-ambience-195884_chunk_167.wav | /home/amani/phd/calm/training/busy-street-ambience-195884_chunk_244.wav,0.0,4
/home/amani/phd/rain_detection/processed_binary_4s/rain/rain_00193.wav,rain,heavy_rain,/home/amani/phd/rain/heavy/freesound_community-driving-in-rainstorm-interior-17186.mp3,64.0,4
/home/amani/phd/rain_detection/processed_binary_4s/rain/rain_00124.wav,rain,heavy_rain,/home/amani/phd/rain/heavy/freesound_community-car-roof-rain-66358.mp3,12.0,4
/home/amani/phd/rain_detection/processed_binary_4s/rain/rain_00416.wav,rain,heavy_rain,/home/amani/phd/rain/heavy/freesound_community-heavy-rain-from-inside-car-53318.mp3,340.0,4
/home/amani/phd/rain_detection/processed_binary_4s/rain/rain_00278.wav,rain,heavy_rain,/home/amani/phd/rain/heavy/freesound_community-heavy-rain-from-inside-car-53318.mp3,476.0,4
/home/amani/phd/rain_detection/processed_binary_4s/rain/rain_00434.wav,rain,heavy_rain,/home/amani/phd/rain/heavy/freesound_community-heavy-rain-from-inside-car-53318.mp3,348.0,4
/home/amani/phd/rain_detection/processed_binary_4s/no_rain/no_rain_00588.wav,no_rain,calm,/home/amani/phd/calm/training/Street Sounds 2 _Road Nosie__chunk_429.wav | /home/amani/phd/calm/training/busy-street-ambience-195884_chunk_502.wav,0.0,4
/home/amani/phd/rain_detection/processed_binary_4s/rain/rain_00185.wav,rain,heavy_rain,/home/amani/phd/rain/heavy/freesound_community-heavy-rain-from-inside-car-53318.mp3,516.0,4
/home/amani/phd/rain_detection/processed_binary_4s/rain/rain_00555.wav,rain,heavy_rain,/home/amani/phd/rain/heavy/freesound_community-windscreen-wipers-heavy-rain-23366.mp3,72.0,4
/home/amani/phd/rain_detection/processed_binary_4s/no_rain/no_rain_00444.wav,no_rain,busy,/home/amani/phd/busy/busy-street-ambience-195884.wav,436.0,4
/home/amani/phd/rain_detection/processed_binary_4s/rain/rain_00077.wav,rain,heavy_rain,/home/amani/phd/rain/heavy/31736081-rain-on-car-shield-361559.mp3,236.0,4
